ip_address,total_activities,first_seen_date,first_seen_time,last_seen_date,last_seen_time,activity_span_days,city,region,country,timezone,zip_code,latitude,longitude,isp,org,as_number,as_name,activities_per_day,player_type,lookup_success,first_seen_timestamp,last_seen_timestamp,Player Name
216.250.207.177,44,2025-09-16,1:10:14,2025-09-16,1:17:26,1,Ashburn,Virginia,United States,America/New_York,20149,39.0438,-77.4874,Intelsat Global Service Corporation,PanAmSat Corporation,AS22351,INTELSAT GLOBAL SERVICE CORPORATION,44,Casual Player,Yes,2025-09-16T01:10:14.631284+00:00,2025-09-16T01:17:26.039593+00:00,
2600:6c67:617f:518b:1a7e:22fa:6e18:ab66,33,2025-09-17,10:22:10,2025-09-17,10:22:58,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,33,Casual Player,Yes,2025-09-17T10:22:10.235890+00:00,2025-09-17T10:22:58.445002+00:00,
2600:6c67:617f:518b:86db:205e:d574:55a4,23,2025-09-14,21:16:19,2025-09-14,21:18:22,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,23,Casual Player,Yes,2025-09-14T21:16:19.724922+00:00,2025-09-14T21:18:22.657146+00:00,
2601:600:9300:4bd0:99b1:e873:74df:695b,19,2025-09-14,19:52:18,2025-09-14,19:56:42,1,Bellevue,Washington,United States,America/Los_Angeles,98005,47.615,-122.1619,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",AS7922,"Comcast Cable Communications, LLC",19,Casual Player,Yes,2025-09-14T19:52:18.482678+00:00,2025-09-14T19:56:42.866411+00:00,
2607:fb91:1637:8d36:e51e:f9f2:9461:7da8,14,2025-09-16,0:11:03,2025-09-16,0:45:19,1,Cincinnati,Ohio,United States,America/New_York,45246,39.2835,-84.4723,"T-Mobile USA, Inc.",T-Mobile USA,AS21928,"T-Mobile USA, Inc.",14,Casual Player,Yes,2025-09-16T00:11:03.482869+00:00,2025-09-16T00:45:19.811931+00:00,
185.70.197.208,5,2025-09-16,12:05:25,2025-09-16,12:05:28,1,Warsaw,Mazovia,Poland,Europe/Warsaw,00-510,52.2297,21.0122,UpCloud Ltd,Upcloud PL Waw1,AS202053,UpCloud Ltd,5,Light Player,Yes,2025-09-16T12:05:25.591785+00:00,2025-09-16T12:05:28.224597+00:00,
146.70.185.32,3,2025-09-16,2:35:26,2025-09-18,16:17:21,3,New York,New York,United States,America/New_York,10013,40.7218,-74.0094,M247 Europe SRL,M247 Ltd New York,AS9009,M247 Europe SRL,1,Light Player,Yes,2025-09-16T02:35:26.314251+00:00,2025-09-18T16:17:21.750161+00:00,
164.52.24.184,3,2025-09-16,0:16:27,2025-09-16,1:47:52,1,Chiyoda City,Tokyo,Japan,Asia/Tokyo,100-0001,35.694,139.754,Capitalonline Data Service (HK) Co,,AS63199,"CDS Global Cloud Co., Ltd",3,Light Player,Yes,2025-09-16T00:16:27.850631+00:00,2025-09-16T01:47:52.708119+00:00,
196.251.72.237,3,2025-09-15,15:09:48,2025-09-18,22:15:26,4,Frankfurt am Main,Hesse,Germany,Europe/Berlin,60313,50.1109,8.68213,cheapy.host LLC,Internet Secuirty Cheapyhost,AS401120,cheapy.host LLC,0.75,Light Player,Yes,2025-09-15T15:09:48.229266+00:00,2025-09-18T22:15:26.536325+00:00,
149.56.150.132,3,2025-09-16,17:38:09,2025-09-16,17:38:10,1,Montreal,Quebec,Canada,America/Toronto,H3H,45.4995,-73.5848,OVH Hosting,Dataprovider B.V.,AS16276,OVH SAS,3,Light Player,Yes,2025-09-16T17:38:09.677372+00:00,2025-09-16T17:38:10.632455+00:00,
